names,scores,logfoldchanges,pvals,pvals_adj,cluster
RPL21,83.260284,1.9553366,0.0,0.0,4
RPS2,82.520424,1.5710787,0.0,0.0,4
RPS20,82.51667,2.149814,0.0,0.0,4
RGCC,82.50788,3.010225,0.0,0.0,4
NKG7,82.17377,3.7248173,0.0,0.0,4
RPL36A,81.504425,2.14625,0.0,0.0,4
CD52,80.96772,2.448556,0.0,0.0,4
RPS17,80.124275,2.0837808,0.0,0.0,4
CST7,79.763054,3.4209468,0.0,0.0,4
CREM,79.09798,2.982296,0.0,0.0,4
GZMA,77.001045,3.402886,0.0,0.0,4
HLA-C,75.83587,1.3737112,0.0,0.0,4
RPS16,74.42799,1.390506,0.0,0.0,4
RPL7,73.25272,1.7040821,0.0,0.0,4
RPL41,72.05633,0.98894954,0.0,0.0,4
RPL17,68.79429,1.790672,0.0,0.0,4
HLA-B,68.21459,1.2306473,0.0,0.0,4
EIF1,68.13926,0.8196853,0.0,0.0,4
RGS1,67.96038,2.5396683,0.0,0.0,4
PFN1,67.26256,1.2212285,0.0,0.0,4
RPS10,66.88564,1.270052,0.0,0.0,4
GZMB,66.18226,3.853796,0.0,0.0,4
ID2,64.6923,2.5185935,0.0,0.0,4
SH3BGRL3,64.06401,1.4382453,0.0,0.0,4
DUSP2,63.646114,2.2995446,0.0,0.0,4
CD7,63.623837,2.4502957,0.0,0.0,4
RPL38,62.745346,1.1722239,0.0,0.0,4
ZFP36L2,62.285763,1.5432966,0.0,0.0,4
RPS14,61.809486,0.843975,0.0,0.0,4
CRIP1,61.67107,2.1062503,0.0,0.0,4
HCST,61.465645,1.9667034,0.0,0.0,4
RPL37A,61.389977,1.2993375,0.0,0.0,4
CD3D,60.871433,1.9870291,0.0,0.0,4
RPS6,60.48902,1.0003171,0.0,0.0,4
YPEL5,60.39325,1.8984808,0.0,0.0,4
SAMSN1,59.761158,2.5634823,0.0,0.0,4
CD3E,58.90131,2.0187433,0.0,0.0,4
CD2,56.363003,1.999171,0.0,0.0,4
RPS19,56.15942,0.75548995,0.0,0.0,4
IFITM2,56.103027,1.9211396,0.0,0.0,4
RPL35,55.9638,0.8376492,0.0,0.0,4
RP11-347P5.1,54.565907,2.7182086,0.0,0.0,4
RPLP1,53.920403,0.5985994,0.0,0.0,4
GZMH,53.743793,3.2243962,0.0,0.0,4
RPS3,53.250973,0.71580267,0.0,0.0,4
CD69,51.51638,1.7017534,0.0,0.0,4
TUBA4A,50.683727,2.358632,0.0,0.0,4
UBA52,50.65407,0.7624066,0.0,0.0,4
ARHGDIB,50.24185,1.2075691,0.0,0.0,4
STK17B,50.206734,1.6785964,0.0,0.0,4
ISG20,49.989,1.7137713,0.0,0.0,4
LEPROTL1,49.677433,1.6119374,0.0,0.0,4
RPS15,49.448864,0.60968655,0.0,0.0,4
KLRB1,49.212708,3.2198615,0.0,0.0,4
TRAC,49.14258,1.6906776,0.0,0.0,4
CCL4L2,49.06578,2.244367,0.0,0.0,4
GZMK,48.925674,3.1346827,0.0,0.0,4
ARF6,48.272015,1.7267439,0.0,0.0,4
RPL27,47.811165,0.73901194,0.0,0.0,4
MT-ND2,47.477726,0.68998796,0.0,0.0,4
RPL18A,47.269825,0.6663595,0.0,0.0,4
MCL1,46.64019,1.5182129,0.0,0.0,4
AC092580.4,46.559433,3.7156968,0.0,0.0,4
RPS25,46.27151,0.66042084,0.0,0.0,4
KLRD1,45.839462,3.7788188,0.0,0.0,4
TNFAIP3,45.566574,1.7497411,0.0,0.0,4
SELK,44.677998,1.2307464,0.0,0.0,4
TRBC2,44.289703,1.512191,0.0,0.0,4
CFL1,44.26917,0.75008,0.0,0.0,4
RP11-138A9.1,43.76352,2.88654,0.0,0.0,4
RPS15A,43.70553,0.5983165,0.0,0.0,4
RPS11,43.521683,0.70899487,0.0,0.0,4
SRSF7,43.49796,1.1135623,0.0,0.0,4
MT2A,43.355694,1.5889158,0.0,0.0,4
GNLY,43.053505,3.4260435,0.0,0.0,4
DDIT4,42.181744,1.6063304,0.0,0.0,4
CORO1A,42.13908,1.3138865,0.0,0.0,4
FAM177A1,42.053383,1.5888447,0.0,0.0,4
RPL15,41.86252,0.52652156,0.0,0.0,4
RPS18,41.65197,0.49953657,0.0,0.0,4
CLU,129.04756,5.057247,0.0,0.0,5
TG,112.73234,4.552188,0.0,0.0,5
WFDC2,111.70237,4.2235093,0.0,0.0,5
MGST1,108.69917,3.5774956,0.0,0.0,5
APLP2,108.27059,3.2214124,0.0,0.0,5
SPINT2,107.03663,3.2313964,0.0,0.0,5
C2orf40,103.59877,3.9781692,0.0,0.0,5
ATP1B1,103.40374,3.4442427,0.0,0.0,5
NEAT1,102.025024,2.689833,0.0,0.0,5
